Drug_ID	Target_ID
71554173.0	P21397
71543365.0	P21397
71543365.0	P21397
68178634.0	P01275
68178635.0	P01275
90654054.0	P01275
90654055.0	P01275
1550170.0	P00533
720879.0	P00533
5328791.0	P00533
5328792.0	P00533
5328795.0	P00533
90395371.0	P21397
90395373.0	P21397
89518689.0	P21397
129190998.0	P21397
449200.0	P06820
5329292.0	P06820
5329293.0	P06820
5329294.0	P06820
5329295.0	P06820
5329299.0	P06820
5329298.0	P06820
5329299.0	P06820
5329300.0	P06820
5329301.0	P06820
5329302.0	P06820
5329302.0	P06820
90395375.0	P21397
71554173.0	P27338
59474212.0	O96013
3585502.0	Q16769
91415254.0	Q16769
3692902.0	Q16769
5167601.0	Q16769
6539182.0	Q16769
2918257.0	Q16769
5153417.0	Q16769
2882201.0	Q16769
6539183.0	Q16769
2929274.0	Q16769
6539184.0	Q16769
6539185.0	Q16769
6539186.0	Q16769
2918952.0	Q16769
6539187.0	Q16769
2910461.0	Q16769
6539191.0	Q16769
6539192.0	Q16769
6539194.0	Q16769
6539197.0	Q16769
6539201.0	Q16769
6539202.0	Q16769
6539204.0	Q16769
6539205.0	Q16769
6539206.0	Q16769
6539207.0	Q16769
6539209.0	Q16769
6539211.0	Q16769
6539213.0	Q16769
6539214.0	Q16769
6539215.0	Q16769
6539216.0	Q16769
25052177.0	P19020
25052177.0	P43140
3776215.0	Q16769
53001.0	Q16769
2798590.0	Q16769
658311.0	Q16769
447961.0	P17252
447961.0	P68400
447961.0	P49841
6539363.0	P49841
6539368.0	P49841
6539373.0	P49841
6539375.0	P49841
6539377.0	P49841
6539378.0	P49841
6539379.0	P49841
4210951.0	P49840
6539562.0	P49840
6540048.0	P19099
6540049.0	P19099
3152.0	P22303
9859456.0	P22303
10317448.0	P11511
10069029.0	P11511
2145.0	P11511
5280373.0	P11511
23644623.0	P11511
23644968.0	P11511
23644969.0	P11511
23644970.0	P11511
23644975.0	P11511
23644977.0	P11511
6432604.0	P11511
2192.0	P11511
23644992.0	P11511
23644993.0	P11511
23644994.0	P11511
23644995.0	P11511
23644998.0	P11511
23645003.0	P11511
23645009.0	P11511
23645010.0	P11511
23645011.0	P11511
23644625.0	P11511
23645013.0	P11511
10335207.0	P11511
23645017.0	P11511
23645020.0	P11511
23645022.0	P11511
2779120.0	Q14790
10826725.0	P42574
9840223.0	P42574
4117381.0	P42574
9800285.0	P42574
9864930.0	P42574
9821545.0	P42574
10826725.0	P29466
9840223.0	P29466
4117381.0	P29466
9800285.0	P29466
9864930.0	P29466
9821545.0	P29466
10826725.0	P42575
9840223.0	P42575
4117381.0	P42575
9800285.0	P42575
9864930.0	P42575
9821545.0	P42575
10826725.0	P49662
9840223.0	P49662
4117381.0	P49662
9800285.0	P49662
9864930.0	P49662
9821545.0	P49662
10826725.0	P55212
9840223.0	P55212
4117381.0	P55212
9800285.0	P55212
9864930.0	P55212
9821545.0	P55212
10826725.0	P55210
9840223.0	P55210
4117381.0	P55210
9800285.0	P55210
9864930.0	P55210
9821545.0	P55210
10826725.0	Q14790
9840223.0	Q14790
4117381.0	Q14790
9800285.0	Q14790
9864930.0	Q14790
9821545.0	Q14790
10826725.0	P55211
9840223.0	P55211
4117381.0	P55211
9800285.0	P55211
9864930.0	P55211
9821545.0	P55211
1253.0	P04058
1253.0	P37136
1253.0	P22303
1253.0	P04058
23645296.0	P04058
4740.0	Q873X9
78105.0	P00915
3998.0	P00915
169682.0	P00915
1502014.0	P00915
9861037.0	P00915
84724.0	P00915
5172475.0	P00915
6852129.0	P00915
165323.0	P00915
10081162.0	P00915
10375558.0	P00915
1986.0	P00915
4100.0	P00915
3295.0	P00915
5284627.0	P00915
5734.0	P00915
3018598.0	P00915
11573504.0	P00915
2812911.0	P00915
669716.0	P00915
990581.0	P00915
11588141.0	P00915
8190912.0	P00915
1378039.0	P00915
11553012.0	P00915
78105.0	P00918
